2001-12-01,2002-12-01,2003-12-01,2004-12-01,2005-12-01,2006-12-01,2007-12-01,2008-12-01,2009-12-01,2010-12-01,2011-12-01,2012-12-01,2013-12-01,2014-12-01,2015-12-01,2016-12-01,2017-12-01,2018-12-01,2019-12-01,2020-12-01
662.0,636.0,648.0,623.0,628.0,518.0,544.0,563.0,665.0,575.0,686.0,694.0,720.0,690.0,660.0,779.0,773.0,693.0,735.0,608.0
353.0,373.0,370.0,350.0,329.0,383.0,315.0,327.0,364.0,342.0,392.0,414.0,394.0,440.0,389.0,436.0,495.0,485.0,591.0,602.0
2333.0,2271.0,2333.0,2557.0,2498.0,2442.0,2443.0,2691.0,2604.0,2750.0,2699.0,2830.0,3066.0,3127.0,3401.0,3284.0,3688.0,3777.0,3943.0,3537.0
149.0,172.0,200.0,217.0,160.0,149.0,137.0,156.0,145.0,150.0,167.0,141.0,167.0,148.0,170.0,162.0,212.0,268.0,323.0,324.0
3447.0,3764.0,3936.0,4077.0,3992.0,3819.0,3741.0,3792.0,4091.0,4101.0,4349.0,4040.0,4131.0,3944.0,3974.0,4216.0,4524.0,4698.0,5496.0,4927.0
216.0,295.0,274.0,277.0,269.0,247.0,275.0,265.0,258.0,219.0,256.0,256.0,220.0,210.0,223.0,284.0,294.0,268.0,355.0,319.0
280.0,330.0,275.0,280.0,263.0,256.0,230.0,221.0,217.0,221.0,221.0,181.0,190.0,193.0,190.0,208.0,182.0,226.0,234.0,205.0
2818.0,2981.0,2987.0,2949.0,3179.0,2947.0,2752.0,2434.0,2483.0,2406.0,2498.0,2173.0,2316.0,2081.0,2277.0,2412.0,2502.0,2654.0,2705.0,2498.0
1547.0,1471.0,1400.0,1576.0,1564.0,1352.0,1319.0,1231.0,1117.0,986.0,1020.0,927.0,903.0,815.0,773.0,794.0,799.0,875.0,862.0,779.0
3747.0,4068.0,5228.0,4363.0,4695.0,4207.0,4072.0,4486.0,4649.0,4311.0,4376.0,4264.0,4071.0,3884.0,4014.0,4034.0,4314.0,4560.0,4580.0,3864.0
1139.0,1167.0,1356.0,1368.0,1343.0,1191.0,1091.0,1203.0,1212.0,1103.0,1239.0,1218.0,1273.0,1194.0,1142.0,1183.0,1329.0,1599.0,1453.0,1668.0
1338.0,1391.0,1451.0,1507.0,1473.0,1134.0,1180.0,1319.0,1328.0,1327.0,1421.0,1399.0,1452.0,1332.0,1234.0,1221.0,1346.0,1512.0,1477.0,1100.0
4308.0,4859.0,5168.0,5439.0,5359.0,4963.0,4771.0,4982.0,4993.0,5215.0,5347.0,5681.0,5488.0,5460.0,5643.0,5529.0,5934.0,5922.0,6189.0,5539.0
1271.0,1345.0,1401.0,1435.0,1483.0,1395.0,1339.0,1368.0,1480.0,1343.0,1368.0,1330.0,1313.0,1271.0,1065.0,1227.0,1295.0,1326.0,1304.0,1074.0
492.0,590.0,670.0,653.0,827.0,718.0,588.0,691.0,704.0,632.0,666.0,613.0,712.0,793.0,766.0,792.0,820.0,973.0,1012.0,903.0
7762.0,7726.0,8472.0,8124.0,7950.0,7267.0,6689.0,6626.0,7001.0,6478.0,6409.0,6033.0,5748.0,5667.0,5315.0,5272.0,5500.0,5659.0,5698.0,4670.0
1166.0,5875.0,5934.0,6090.0,5955.0,5425.0,5295.0,5202.0,4862.0,4456.0,4596.0,4283.0,4196.0,4220.0,4014.0,4068.0,4097.0,4228.0,4317.0,3998.0
1614.0,1596.0,1533.0,1528.0,1462.0,1345.0,1432.0,1534.0,1432.0,1482.0,1444.0,1462.0,1378.0,1315.0,1390.0,1236.0,1321.0,1480.0,1485.0,1791.0
16528.0,16779.0,15876.0,15932.0,15268.0,14408.0,14040.0,14499.0,14531.0,14278.0,14279.0,14118.0,13487.0,13042.0,13295.0,13537.0,14086.0,14743.0,15044.0,13621.0
18649.0,19867.0,19204.0,18612.0,17746.0,19222.0,17611.0,18465.0,17883.0,18284.0,19057.0,18629.0,19840.0,19654.0,20408.0,20405.0,22109.0,22454.0,22384.0,19486.0
3158.0,3320.0,3450.0,3309.0,3373.0,2965.0,2993.0,2990.0,2824.0,2793.0,2759.0,2525.0,2635.0,2557.0,2484.0,2444.0,2388.0,2735.0,2664.0,2597.0
1595.0,1851.0,1868.0,1855.0,1835.0,1873.0,1840.0,1988.0,2046.0,2078.0,2179.0,2247.0,2278.0,2236.0,2142.0,2213.0,2256.0,2240.0,2310.0,1757.0
5044.0,5487.0,5752.0,5928.0,5644.0,5290.0,5416.0,5673.0,6129.0,6159.0,6320.0,6389.0,6342.0,6397.0,6398.0,6036.0,6524.0,6832.0,7502.0,6680.0
957.0,897.0,973.0,1047.0,1085.0,898.0,960.0,1020.0,1052.0,926.0,1046.0,1092.0,1097.0,995.0,1003.0,1132.0,1131.0,1447.0,1420.0,1361.0
1359.0,1259.0,1230.0,1172.0,1350.0,1312.0,1154.0,1262.0,1183.0,1359.0,1352.0,1587.0,1891.0,1829.0,1406.0,1512.0,1424.0,1405.0,1538.0,1306.0
1111.0,1126.0,1235.0,1093.0,1104.0,993.0,963.0,955.0,1000.0,1020.0,986.0,1054.0,1076.0,993.0,1093.0,1031.0,1147.0,1219.0,1172.0,1101.0
612.0,593.0,613.0,626.0,619.0,608.0,633.0,510.0,460.0,414.0,492.0,555.0,467.0,531.0,472.0,462.0,407.0,474.0,484.0,430.0
