TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por UF de notificação e Ano Notificação
Período:2001-2020
"UF de notificação";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1995";"1996";"1997";"1998";"1999";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;662;636;648;623;628;518;544;563;665;575;686;694;720;690;660;779;773;693;735;608;16;13116
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;353;373;370;350;329;383;315;327;364;342;392;414;394;440;389;436;495;485;591;602;20;8164
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2333;2271;2333;2557;2498;2442;2443;2691;2604;2750;2699;2830;3066;3127;3401;3284;3688;3777;3943;3537;46;58320
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;149;172;200;217;160;149;137;156;145;150;167;141;167;148;170;162;212;268;323;324;14;3731
"15 Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3447;3764;3936;4077;3992;3819;3741;3792;4091;4101;4349;4040;4131;3944;3974;4216;4524;4698;5496;4927;94;83153
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;216;295;274;277;269;247;275;265;258;219;256;256;220;210;223;284;294;268;355;319;7;5287
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;280;330;275;280;263;256;230;221;217;221;221;181;190;193;190;208;182;226;234;205;9;4612
"21 Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2818;2981;2987;2949;3179;2947;2752;2434;2483;2406;2498;2173;2316;2081;2277;2412;2502;2654;2705;2498;73;52125
"22 Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1547;1471;1400;1576;1564;1352;1319;1231;1117;986;1020;927;903;815;773;794;799;875;862;779;27;22137
"23 Ceará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3747;4068;5228;4363;4695;4207;4072;4486;4649;4311;4376;4264;4071;3884;4014;4034;4314;4560;4580;3864;110;85897
"24 Rio Grande do Norte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1139;1167;1356;1368;1343;1191;1091;1203;1212;1103;1239;1218;1273;1194;1142;1183;1329;1599;1453;1668;47;25518
"25 Paraíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1338;1391;1451;1507;1473;1134;1180;1319;1328;1327;1421;1399;1452;1332;1234;1221;1346;1512;1477;1100;59;27001
"26 Pernambuco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4308;4859;5168;5439;5359;4963;4771;4982;4993;5215;5347;5681;5488;5460;5643;5529;5934;5922;6189;5539;153;106942
"27 Alagoas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1271;1345;1401;1435;1483;1395;1339;1368;1480;1343;1368;1330;1313;1271;1065;1227;1295;1326;1304;1074;52;26485
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;492;590;670;653;827;718;588;691;704;632;666;613;712;793;766;792;820;973;1012;903;32;14647
"29 Bahia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7762;7726;8472;8124;7950;7267;6689;6626;7001;6478;6409;6033;5748;5667;5315;5272;5500;5659;5698;4670;142;130208
"31 Minas Gerais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1166;5875;5934;6090;5955;5425;5295;5202;4862;4456;4596;4283;4196;4220;4014;4068;4097;4228;4317;3998;104;92381
"32 Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1614;1596;1533;1528;1462;1345;1432;1534;1432;1482;1444;1462;1378;1315;1390;1236;1321;1480;1485;1791;62;29322
"33 Rio de Janeiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16528;16779;15876;15932;15268;14408;14040;14499;14531;14278;14279;14118;13487;13042;13295;13537;14086;14743;15044;13621;280;291671
"35 São Paulo";1;3;2;3;1;1;1;2;1;4;2;4;5;4;3;1;2;3;2;18649;19867;19204;18612;17746;19222;17611;18465;17883;18284;19057;18629;19840;19654;20408;20405;22109;22454;22384;19486;260;390274
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3158;3320;3450;3309;3373;2965;2993;2990;2824;2793;2759;2525;2635;2557;2484;2444;2388;2735;2664;2597;76;57039
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1595;1851;1868;1855;1835;1873;1840;1988;2046;2078;2179;2247;2278;2236;2142;2213;2256;2240;2310;1757;71;40758
