 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:2012
"Unidade da Federação";"072 BCG";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"Total"
"11 Rondônia";27674;23327;26889;26796;6461;25436;27559;26865;27485;27113;245605
"12 Acre";17700;12433;14010;15286;2762;11742;16194;15921;15219;14761;136028
"13 Amazonas";93902;51374;66330;71077;18213;56984;69525;70818;78191;70529;646943
"14 Roraima";11377;7102;8156;8126;2752;7570;8554;8081;8462;7847;78027
"15 Pará";162045;105539;121529;133148;21101;103240;139453;135488;145769;127520;1194832
"16 Amapá";15125;10373;12408;12548;2256;10807;13248;12086;13088;12461;114400
"17 Tocantins";24482;20702;24114;23285;9029;23156;23101;23382;22816;22263;216330
"21 Maranhão";140959;97862;110180;120406;29440;94249;120534;124337;121363;107147;1066477
"22 Piauí";49401;44094;49498;47504;11619;46905;47951;49675;50205;47441;444293
"23 Ceará";135348;116486;126575;125694;36100;118200;128487;117;128247;123285;1038539
"24 Rio Grande do Norte";55012;40782;46573;47447;8204;43258;45953;55;48254;45823;381361
"25 Paraíba";65209;47787;52131;57798;17524;50097;55258;283;55645;52750;454482
"26 Pernambuco";151584;128376;142923;147026;35298;135007;141918;460;148315;141556;1172463
"27 Alagoas";59347;41921;51508;51336;16085;45760;50038;159;51681;48323;416158
"28 Sergipe";32381;31465;34414;33883;8582;33324;33984;20;34157;34137;276347
"29 Bahia";216081;169091;201147;200793;13166;182807;202999;198934;213043;203697;1801758
"31 Minas Gerais";260744;236652;254141;254090;70167;248947;248823;246886;264627;246544;2331621
"32 Espírito Santo";53068;48551;51963;52193;16938;51713;54000;411;54072;52403;435312
"33 Rio de Janeiro";232968;179024;204871;200597;67314;173834;209790;849;210452;197818;1677517
"35 São Paulo";622359;547863;590731;583085;143369;535842;577072;122398;595663;566786;4885168
"41 Paraná";155011;136704;148960;147780;32919;141613;144370;114698;149079;149504;1320638
"42 Santa Catarina";87014;80466;86989;82958;27653;84031;83417;24696;83736;82690;723650
"43 Rio Grande do Sul";135305;112221;126142;122982;47025;119702;119476;65709;122437;114384;1085383
"50 Mato Grosso do Sul";42421;36785;40474;40063;12194;38707;41181;39584;40569;40153;372131
"51 Mato Grosso";52072;43647;47771;47788;10946;42932;48224;47337;48136;46365;435218
"52 Goiás";98627;79056;88676;89884;35750;83825;88325;89683;94170;78080;826076
"53 Distrito Federal";46791;37732;40814;40618;13841;35914;41142;1356;40787;40450;339445
"Total";3044007;2487415;2769917;2784191;716708;2545602;2780576;1420288;2865668;2701830;24116202
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

